"Complex_Name","Complex_Type","Facility_Name","Facility_Type","Bookable_Item","Assessment_No","F8","Number","Road_Name","Locality","Post_Code","Contact_Name","Contact_Number","Contact_Email","Home_Clubs","Hours_of_Operation","Description","Amenities","Hire_Agreements","Availability","Facebook_Page","Capacity","LAT","LONG"
"Haddon Lions Park","Public Open Space","Haddon Skate Park","Skate Park","Haddon Skate Park","66117403","",30,"Racecourse Road","Haddon",3351,"","","","","","","","","","","",-37.58807,143.714742
"Enfield Harrison Reserve","Recreation Reserve","Enfield Skate Park","Skate Park","Enfield Skate Park","91000207","",58,"Briardale Avenue","Enfield",3351,"","","","","","","","","","","",-37.724602,143.801014
"Woady Yaloak Recreation Reserve","Recreation Reserve","Smythesdale Skate Park","Skate Park","Smythesdale Skate Park","66300008","",55,"Heales Street","Smythesdale",3351,"Alan Patton","0419 929 179","alan.patton1@bigpond.com","","","","","","","","",-37.64181,143.683965
"Linton Community Precinct","Recreation Reserve","Linton Skate Park","Skate Park","Linton Skate Park","91002388","",0,"Glenelg Highway","Linton",3360,"","","","","","","","","","","",-37.683455,143.565919
"Bannockburn Skate Park","Skate Park","Bannockburn Skate Park","Skate Park","Bannockburn Skate Park","41400956","",3,"Moore Street","Bannockburn",3331,"","","","","","","","","","","",-38.047904,144.17525
"Lethbridge Russell Street Reserve","Public Open Space","Lethbridge Skate Park","Skate Park","Lethbridge Skate Park","44400005","",24,"Russell Street","Lethbridge",3332,"","","","","","","","","","","",-37.966592,144.134531
"Dereel Hall & Recreation Centre","Recreation Reserve","Dereel Skate Park","Skate Park","Dereel Skate Park","41400030","",14,"Swamp Road","Dereel",3352,"","","","","","","","","","","",-37.819505,143.752532
"Rokewood Recreation Reserve","Recreation Reserve","Rokewood Skate Park","Skate Park","Rokewood Skate Park","53181407","",14,"McMillan Street","Rokewood",3330,"Gwen Mills","0408 461 450","gwenmills38@bigpond.com.au","","","","","","","","",-37.902426,143.717106
"Teesdale Turtle Bend Reserve","Recreation Reserve","Teesdale Skate Park","Skate Park","Teesdale Skate Park","51200304","",0,"Pantics Road","Teesdale",3328,"","","","","","","","","","","",-38.026779,144.049494
"Inverleigh Skate Park","Skate Park","Inverleigh Skate Park","Skate Park","Inverleigh Skate Park","25400115","",0,"Napier Street","Inverleigh",3321,"","","","","","","","","","","",-38.100971,144.061903
"Meredith Recreation Reserve","Recreation Reserve","Meredith Skate Park","Skate Park","Meredith Skate Park","36600007","",0,"Wilson Street","Meredith",3333,"","","","","","","","","","","",-37.847398,144.074716
